id;title;quantity;price;tags;image;type;suggested;description
1;أملو الكاجو;1كغ;180;أملو|كاجو|طبيعي;products/amlou-akajou-1000.webp;amlou;0;مصدر غني بالطاقة المستدامة! أملو الكاجو التقليدي يوفر مزيجًا مثاليًا من الدهون الصحية (من الكاجو) والبروتينات النباتية والعسل الطبيعي. مثالي لبدء اليوم بنشاط، ويدعم الرياضيين في تعويض الطاقة، ويساعد في نمو الأطفال لغناه بالمعادن مثل المغنيسيوم والزنك.
2;أملو الكاجو;250غ;45;أملو|كاجو|طبيعي;products/amlou-akajou-250.webp;amlou;0;وجبة صحية سريعة في متناول اليد. هذه العبوة الصغيرة تحتفظ بكل فوائد أملو الكاجو: دهون غير مشبعة تدعم صحة القلب، وطاقة طبيعية، وبروتينات لشبع أطول. حل مثالي للإفطار خارج المنزل أو كوجبة خفيفة مغذية.
3;أملو الكاجو;500غ;90;أملو|كاجو|طبيعي;products/amlou-akajou-500.webp;amlou;0;دعم غذائي يومي في قوام كريمي لذيذ. هذا الأملو مصنوع من كاجو محمص لتعزيز النكهة والقيمة الغذائية، مما يجعله مصدرًا ممتازًا للطاقة البطيئة الامتصاص، مما يساعد على استقرار مستويات السكر في الدم خلال اليوم.
4;أملو الكاجو;700غ;126;أملو|كاجو;products/amlou-akajou-700.webp;amlou;0;جودة عالية تُحفظ في كل ملعقة. أملو الكاجو هذا يحافظ على الإنزيمات الطبيعية والفوائد الصحية للكاجو والعسل، ليكون اختيارًا ذكياً لمن يبحث عن بديل صحي ودسم لحلويات المائدة أو للدهن على الخبز.
5;أملو الشوكولاتة;250غ;35;أملو|شوكولاتة|طاقة;products/amlou-chokolata-250.webp;amlou;0;مزيج سحري من الطاقة والطعم! يجمع هذا الأملو بين فوائد المكسرات والعسل مع مضادات الأكسدة الموجودة في الكاكاو الطبيعي. يمنح دفعة سريعة من الطاقة والنشاط الذهني، وهو خيار محبب للأطفال كبديل صحي للحلويات الصناعية.
6;أملو الفستق;1كغ;220;أملو|فستق|فاخر;products/amlou-fostok-1000.webp;amlou;0;ملك المكسرات في قالب صحي. أملو الفستق غني بشكل استثنائي بمضادات الأكسدة (مثل اللوتين) والدهون الأحادية غير المشبعة التي تدعم صحة العين والقلب. طعمه الفاخر يرافقه قيمة غذائية عالية للرياضيين وللحفاظ على الحيوية.
7;أملو الفستق;500غ;110;أملو|فستق;products/amlou-fostok-500.webp;amlou;0;وجبة خفيفة غنية بالعناصر النادرة. الفستق مصدر جيد للبوتاسيوم وفيتامين B6. هذا الأملو الطبيعي 100% هو اختيار مثالي لمن يتبع نظامًا غذائيًا صحيًا، حيث يساهم في تحسين عملية التمثيل الغذائي.
8;أملو كوكاو;1كغ;40;أملو|كوكاو|اقتصادي;products/amlou-kawkaw-1000.webp;amlou;0;طاقة يومية مع فوائد الكاكاو. هذا الأملو الاقتصادي غني بالحديد والمغنيسيوم من الكاكاو الخام، مما يدعم صحة العضلات والأعصاب. سهل الهضم ويعتبر مصدرًا جيدًا للطاقة البسيطة والمركبة معًا.
9;أملو كوكاو;500غ;20;أملو|كوكاو;products/amlou-kawkaw-500.webp;amlou;0;بديل صحي وحكيم للسكريات. مثالي للإفطار السريع، حيث يمد الجسم بالطاقة دون رفع سكر الدم بشكل حاد، بفضل مزيج الكاكاو والعسل الطبيعي الذي يوفر حلاوة متوازنة.
10;أملو اللوز;1كغ;150;أملو|لوز|طبيعي;products/amlou-louz-1000.webp;amlou;1;قوة الغذاء الخارق في برطمان. أملو اللوز غني بفيتامين E المضاد للأكسدة والكالسيوم لدعم العظام، والدهون الصحية للقلب. يقوي المناعة ويمنح طاقة مستدامة، مما يجعله مثاليًا للطلاب والرياضيين.
11;أملو اللوز;250غ;37.5;أملو|لوز;products/amlou-louz-250.webp;amlou;0;رفيقك الصحي في التنقل. هذه العبوة الصغيرة تحمل كل فوائد اللوز: تحسين صحة البشرة والشعر، ودعم الوظائف الإدراكية، وتوفير شبع صحي بين الوجبات الرئيسية.
12;أملو اللوز;500غ;75;أملو|لوز;products/amlou-louz-500.webp;amlou;0;نقاء الطبيعة في كل قضمة. منتج طبيعي 100% خالٍ من المواد الحافظة والألوان الاصطناعية. اللوز المحمص يحتفظ بزيته الطبيعي الغني بالأوميغا 9، مما يجعله إضافة ذكية لأي نظام غذائي متوازن.
13;أملو اللوز;700غ;105;أملو|لوز;products/amlou-louz-700.webp;amlou;0;توازن مثالي بين الجودة والكمية. يوفر قيمة غذائية عالية بسعر معقول، حيث يعتبر اللوز من أفضل مصادر البروتين النباتي الكامل، مما يجعله اختيارًا ممتازًا للنباتيين والمهتمين بالصحة.
14;أملو اليقطين;250غ;37.5;أملو|يقطين;products/amlou-yaktin-250.webp;amlou;0;كنز من المعادن للأجسام النشطة. أملو بذور اليقطين غني بالزنك الذي يدعم المناعة والصحة الإنجابية، والمغنيسيوم للاسترخاء، والحديد لمحاربة فقر الدم. نكهة فريدة وفوائد استثنائية.
15;أملو اليقطين;500غ;75;أملو|يقطين;products/amlou-yaktin-500.webp;amlou;0;دعم شامل للصحة العامة. بذور اليقطين مصدر ممتاز للألياف التي تحسن الهضم، والأحماض الدهنية الأساسية. مثالي لمن يبحث عن وجبة خفيفة مشبعة وصحية تناسب مختلف الأنظمة الغذائية.
16;مكمل القذف السريع;350غ;200;مكمل|صحة;products/complement-kadf_sari3-350.webp;complement;0;دعم طبيعي للصحة الجنسية والتحكم. هذا المكمل الغذائي، المحضر من أعشاب طبيعية مختارة، يساهم في تحسين الأداء الجنسي وتعزيز التحكم من خلال دعم التوازن الهرموني الطبيعي وزيادة الحيوية دون مواد كيميائية.
17;المكمل المنشط الطبيعي;350غ;200;مكمل|طاقة;products/complement-monachit_tabi3i-350.webp;complement;0;طاقة ذهنية وجسدية من الطبيعة. مصمم لتعزيز النشاط واليقظة الذهنية بشكل طبيعي، يدعم هذا المكمل القدرة على التركيز ويقلل الإجهاد البدني، مما يجعله مثاليًا للعاملين والطلاب خلال الفترات المكثفة.
18;عسل الأعشاب;500غ;80;عسل|أعشاب|طبيعي;products/honey-aachab-500.webp;honey;0;صيدلية طبيعية في برطمان. هذا المزيج الفريد من العسل النقي والأعشاب المفيدة يعزز مناعة الجسم بشكل عام، ويهدئ الجهاز الهضمي، ويحسن عملية الهضم، ويمد الجسم بالطاقة والنشاط لمواجهة اليوم.
19;عسل الأزهار;1كغ;150;عسل|أزهار;products/honey-azhar-1000.webp;honey;0;تنوع غذائي في كل ملعقة. عسل متعدد المصادر الغنية، يجمع بين فوائد عدة أزهار ليعطي عسلاً متوازن الطعم والفوائد. مصدر طبيعي لمضادات الأكسدة والسكريات البسيطة سريعة الامتصاص للطاقة الفورية.
20;عسل الخروب;1كغ;170;عسل|خروب;products/honey-caroub-1000.webp;honey;0;صديق الجهاز الهضمي. عسل الخروب غني بالمعادن مثل البوتاسيوم والكالسيوم، ويساعد على تهدئة المعدة وتقوية العظام. كما يوفر طاقة تدوم طويلاً بفضل مؤشر جهد سكري معتدل.
